doc_id;lemma
doc1;Бабель
doc1;Булгаков
doc1;Воронский
doc1;Досто­евский
doc1;Коган
doc1;Леонов
doc1;Лесков
doc1;Луначарский
doc1;Федин
doc10;Пильняк
doc11;Лавренев
doc12;Гладков
doc12;Ряховский
doc12;Серафимович
doc13;Вагинов
doc13;Гумилев
doc13;Сологуб
doc14;Лидин
doc14;Савич
doc14;Сейфуллина
doc14;Толстой
doc15;Бодлер
doc15;Малларме
doc15;Пастернак
doc15;Савич
doc15;Сологуб
doc15;Тихонов
doc16;Аверба­х
doc16;Ленин
doc16;Маркс
doc16;Эрлих
doc16;Блок
doc17;Гумилевский
doc18;Гоголь
doc18;Мариенгоф
doc18;Олеша
doc18;Уайльд
doc18;Триоле
doc19;Толстой
doc19;Шекспир
doc2;Леонов
doc2;Толстой
doc2;Тургенев
doc2;Федин
doc20;Аверченко
doc20;Белинский
doc20;Бунин
doc20;Зощенко
doc20;Катаев
doc20;Машбиц-Веров
doc20;Ремарк
doc20;Толстой
doc21;Анненский
doc21;Боккаччио
doc21;Брюсов
doc21;Кузмин
doc21;Уайльд
doc21;Блок
doc23;Бабель
doc23;Булгаков
doc23;Гладков
doc23;Есенин
doc23;Зощенко
doc23;Ленин
doc23;Леонов
doc23;Оле­ша
doc23;Пильняк
doc23;Федин
doc24;Пильняк
doc24;Фибих
doc25;Бабель
doc25;Леонов
doc25;Олеша
doc26;Гельфанд
doc26;Гладков
doc26;Гомер
doc26;До­стоевский
doc26;Ленин
doc26;Либединский
doc26;Панферов
doc26;Толстой
doc27;Бабель
doc27;Зощенко
doc27;Ката­ев
doc27;Ленин
doc27;Леонов
doc27;Либединский
doc27;Маркс
doc27;Олеша
doc27;Пильняк
doc27;Толстой
doc27;Фадеев
doc27;Федин
doc27;Энгельс
doc28;Бабель
doc28;Гёте
doc28;Гладков
doc28;Леонов
doc28;Манн
doc28;Олеша
doc28;Панфе­ров
doc28;Федин
doc29;Авер­бах
doc29;Рыкачев
doc29;Толстой
doc29;Троцкий
doc3;Бальзак
doc3;Толстой
doc3;Флобер
doc30;Маркс
doc30;Толстой
doc30;Тургенев
doc30;Эренбург
doc31;Некрасов
doc31;Сергеева-Ценский
doc31;Чуковский
doc31;Блок
doc32;Андреев
doc32;Авербах
doc32;Евдокимов
doc32;Леонов
doc32;Пильняк
doc32;Пушкин
doc32;Рыкачев
doc32;Слонимский
doc32;Тихонов
doc32;Шагинян
doc33;Зощенко
doc33;Каверин
doc33;Никитин
doc33;Олеша
doc33;Сталин
doc34;Мандельштам
doc34;Пастернак
doc34;Северянин
doc35;Авербах
doc35;Безыменский
doc35;Воронский
doc35;Ленин
doc35;Луна­чарский
doc35;Толстой
doc35;Троцкий
doc35;Шекспир
doc36;Митрофанов
doc36;Олеша
doc36;Панферов
doc36;Пильняк
doc36;Ставский
doc36;Фадеев
doc36;Федин
doc37;Бабель
doc37;Мопассан
doc4;Леонов
doc4;Леонтьев
doc4;Мариенгоф
doc4;Толстой
doc5;Гладков
doc5;Коган
doc5;Ленин
doc5;Роллан
doc6;Гоголь
doc6;Некрасов
doc6;Пуш­кин
doc6;Пушкин
doc6;Скотт
doc6;Сологуб
doc6;Толстой
doc6;Тургенев
doc6;Тынянов
doc7;Баби­чев
doc7;Глад­ков
doc7;Гофман
doc7;Ка­валеров
doc7;Либединский
doc7;Ляшко
doc7;Мариен­гоф
doc7;Олеша
doc7;Семенов
doc7;Фадеев
doc8;Воронский
doc8;Горький
doc8;Пильняк
doc8;Пушкин
doc9;Гоголь
doc9;Зощенко
