number;kind_of_literature;author;text;title_of_excerpt;start_of_excerpt;end_of_excerpt;year;chrestomathy;form;level_of_education;place_of_edition;notes;biblio_id
1;поэзия;Алексеев Ф.;Романс;Романс (Из Мура);Есть тихая роща в родной стороне;;1843;Галахов. Ч. II. Поэзия;;;СПб;;Галахов. Ч. II. Поэзия__1843
2;поэзия;Алексеев Ф.;Романс;Романс (Из Мура);Есть тихая роща в родной стороне;;1853;Галахов. Ч. II. Поэзия;;;Москва;;Галахов. Ч. II. Поэзия__1853
3;поэзия;Алексеев Ф.;Романс;Романс (Из Мура);Есть тихая роща в родной стороне;;1859;Галахов. Ч. II.;;;Москва;;Галахов. Ч. II.__1859
4;поэзия;А.Б.;Лето;;Упал палящий луч с зенита;Бегут стада под тень;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
5;поэзия;А.Г.;К Ю.Н. Бартеневу;;В безвестной тишине забытая всем светом;;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
6;поэзия;А.М.;Вечер 31 декабря;;С новыми днями настанут новые радости мне;;1846;Пенинский;Нижние классы;Уездные училища, гимназии;СПб;;Пенинский__1846
7;поэзия;А.Х.;К фортепиано;;Фортепиано, друг мой милой;И товарищ дорогой;1838;Рклицкий. Кн 1. Ч.II.;;;Варшава;;Рклицкий. Кн 1. Ч.II.__1838
8;драма;Аблесимов А.О.;Мельник, колдун, обманщик и сват;Мельник, колдун, обманщик и сват (комическая опера);Д3я1-я2-я3-я4-я5-я последнее;;1866;Петров Ист Хрест;;;СПб;;Петров Ист Хрест__1866
9;проза;Августин Виноградский;Слово на Бородинскую годовщину;;;;1864;Галахов. Ч. II., отд. III;;;СПб;;Галахов. Ч. II., отд. III__1864
10;поэзия;Аксаков И.С.;Бродяга;Сенокос;Благоприятный день, крестьяне дорожат;;1881;Реймерс;;Гимназии, Училища;Рига;;Реймерс__1881
11;поэзия;Аксаков И.С.;Бродяга;Зимняя ночь в деревне;Весело сияет;и тяжелый труд;1868;Басистов (хрест, курс 2);;;Москва;;Басистов (хрест, курс 2)__1868
12;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
13;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
14;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1863;Филонов;;Гимназии, духовные семинарии;СПб;;Филонов__1863
15;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
16;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1869;Полевой+МНП;1-3 кл.;Гимназии;СПб;;Полевой+МНП__1869
17;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1887;Савенко;Приготовительные классы;СУЗ;Москва;;Савенко__1887
18;поэзия;Аксаков И.С.;Бродяга;Всенощная в деревне;День вечерел;;1904;Шафров Хрест 1 часть;Третий отдел;Городские училища;Москва;;Шафров Хрест 1 часть__1904
19;поэзия;Аксаков И.С.;Бродяга;Всенощная в селе;День вечерел;;1905;Голиков Хрест 1 часть;Третий отдел;Городские училища;Москва;;Голиков Хрест 1 часть__1905
20;поэзия;Аксаков И.С.;Бродяга;;День вечерел... И пенье слитое;;1861;Хрест для нар чтения Вып1.;;;Москва;;Хрест для нар чтения Вып1.__1861
21;поэзия;Аксаков И.С.;Бродяга;Вечер;Жар свалил…;;1866;Галахов 11 изд Том второй;;;СПб;;Галахов 11 изд Том второй__1866
22;поэзия;Аксаков И.С.;Бродяга;Вечер;Жар свалил…;;1912;Галахов РХ 35изд 1том;;СУЗ;Москва;;Галахов РХ 35изд 1том__1912
23;поэзия;Аксаков И.С.;Бродяга;Вечер;Жар свалил…;;1903;Кирпичникова КндЧт;Приготовительные классы;;Москва;;Кирпичникова КндЧт__1903
24;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1861;Паульсон;;Народные училища;СПб;;Паульсон__1861
25;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1861;Перевлесский 1861 4 изд;;;СПб;;Перевлесский 1861 4 изд__1861
26;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1864;Новаковский Хрест 1 часть;;;СПб;;Новаковский Хрест 1 часть__1864
27;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1880;Козьмин I Курс;;Городские, уездные училища;Москва;;Козьмин I Курс__1880
28;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1872;Басистов Курс Второй;3-5 кл.;Гимназии, женские училища 1 разряда;Москва;;Басистов Курс Второй__1872
29;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1874;Козин Реком МНП;Средние классы;Учебные заведения Прибалтики;Рига, Москва, Одесса;;Козин Реком МНП__1874
30;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1887;Савенко;Приготовительные классы;СУЗ;Москва;;Савенко__1887
31;поэзия;Аксаков И.С.;Бродяга;Деревенский вечер;Жар свалил…;;1895;Ильенков Хрест;3-5 кл.;СУЗ;Москва;;Ильенков Хрест__1895
