number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_excerpt ;compiler;place_of_edition;year_of_edition;edition ;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
1;Эзоп;м;Волк и журавль;;проза;;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;помечено, что перевод Л. Н. Толстого;Беме_1918
2;Эзоп;м;Ворон и лисица;;проза;;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;помечено, что перевод Л. Н. Толстого;Беме_1918
3;Эзоп;м;Стрекоза и муравей;;проза;;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;помечено, что перевод Л. Н. Толстого;Беме_1918
4;Дмитриев И.И.;м;Муха;;поэзия;1805;басня;нет;нет;Бык с плугом;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
5;б/а;;Лиса и рак;;проза;;басня;нет;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
6;Лессинг ;м;Конь и бык;;проза;1818;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;перевод Жуковского В.А.;Беме_1918
7;Толстой Л.Н.;м;Дикий и ручной осел;;проза;1875;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
8;Толстой Л.Н.;м;Старый лев и осел;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
9;Толстой Л.Н.;м;Еж и уж;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
10;Толстой Л.Н.;м;Олень;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
11;Толстой Л.Н.;м;Мыши;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
12;Дмитриев И.И.;м;Нищий и собака;;поэзия;1803;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
13;Толстой Л.Н.;м;Лошадь и хозяев;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
14;б/а;м;Лиса и козел;;поэзия;;басня;да;да;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
15;Измайлов А.Е.;м;Два рака;;поэзия;1816;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
16;Толстой Л.Н.;м;Дуб и орешник;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
17;Дмитриев И.И.;м;Полевой цветок;Дикий цветок;поэзия;1805;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
18;Аксаков С.Т.;м;Срубленное дерево;;проза;1857;повесть;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
19;Жуковский В.А.;м;Будто солнце улыбаясь;Два колосика;поэзия;;стихотворение;нет;нет;Из всего растительного уарства;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
20;б/а;;Ах, кабы на цветы;;поэзия;;песня;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
21;Толстой Л.Н.;м;Лгун;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
22;Измайлов А.Е.;м;Лестница;;поэзия;1815;стихотворение;нет;нет;Стояла лестница однажды у стены.;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
23;Толстой Л.Н.;м;Мужик и водяной;;проза;1875;басня;да;нет;У одной девочки умерла девочка Анночка;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
24;Толстой Л.Н.;м;Мать и дочь;;проза;;;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
25;б/а;;Зеленейся, зеленейся;;поэзия;;песня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
26;Толстой Л.Н.;м;Слепой и молоко;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
27;Толстой Л.Н.;м;Бедный портной;;проза;1875;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
28;б/а;;Мы вокруг поля ходили;;поэзия;;песня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
29;Толстой Л.Н.;м;Справедливый царь;;проза;1875;сказка;нет;нет;Один царь строил себе дворец и перед дворцом сделала сад;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
30;Жуковский В.А.;м;Жаворонок;;поэзия;1852;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
31;б/а;;Чудо на мельнице;;проза;;сказка;нет;да;Пришел мельник на мельницу и стал просить у мельника святую милостыню.;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
32;Даль В.И.;м;Счастье;;проза;;;нет;да;В тридевятом царстве, за тридевять земель, у сильного, могучего и богатого царя была одним-одна дочь.;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
33;Аксаков С.Т.;м;Записки ружейного охотника Оренбургской губернии;Утка, как мать;проза;1852;;нет;нет;Утка - самая горячая мать. Когда собака или человек спугнет ее с гнезда, для чего надобно почти наступить на него, то она притворяется какою-то хворою или неумеющею летать;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
34;Тургенев И.С.;м;Воробей;;;1878;стихотворение в прозе;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
35;Толстой Л.Н.;м;Зерно с куриное яйцо;;проза;1886;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
36;Крылов И.А.;м;Лебедь, рак и щука;;поэзия;1814;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
37;Крылов И.А.;м;Свинья под дубом;;поэзия;1823;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
38;Крылов И.А.;м;Мартышка и очки;;поэзия;1815;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
39;Крылов И.А.;м;Квартет;;поэзия;1811;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
40;Крылов И.А.;м;Две бочки;;поэзия;1819;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
41;Крылов И.А.;м;Тришкин кафтан;;поэзия;1815;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
42;Крылов И.А.;м;Ларчик;;поэзия;1808;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
43;Крылов И.А.;м;Вельможа;;поэзия;1836;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
44;Крылов И.А.;м;Три мужика;;поэзия;1830;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
45;Крылов И.А.;м;Демьянова уха;;поэзия;1812;басня;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
46;Толстой Л.Н.;м;Детство;;проза;1852;повесть;нет;нет;Счастливая, счастливая, невозратимая пора дества!;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
47;Лермонтов М.Ю.;м;Казачья колыбельная песня;;поэзия;1838;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
48;Гончаров И.А.;м;Обломов;Сон Обломова;проза;1859;роман;нет;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
49;Гоголь Н.В.;м;Мертвые души;О, моя юность!;проза;1842;поэма;нет;нет;Прежде, давно, в лета моей юности;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
50;Пушкин А.С.;м;Зимний вечер;;поэзия;1825;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
51;Чехов А.П.;м;Ванька;;проза;1886;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
52;Некрасов Н.А.;м;Крестьянские дети;Мужичок с ноготок;поэзия;1861;поэма;нет;нет;Однажды, в студеную зимнюю пору;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
53;Достоевский Ф.М.;м;Мальчик у Христа на елке;;проза;1876;рассказ;нет;нет;еще очень маленький, лет шести или даже мене;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
54;Сологуб Ф.К.;м;Лишние веревочки;;проза;1905;сказка;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
55;Толстой А.К.;м;Ходит Спесь, надуваючись;;поэзия;1856;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
56;Салтыков-Щедрин М.Е.;м;Кисель;;проза;1885;сказка;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
57;Короленко В.Г.;м;В ночь под светлый праздник;;проза;1885;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
58;Лермонтов М.Ю.;м;Из Гете;;поэзия;1840;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
59;Чехов А.П.;м;Тоска;;проза;1886;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;без эпиграфа, в оригинале есть;Беме_1918
60;Надсон С.Я.;м;Над свежей могилой;;поэзия;1879;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
61;Тургенев И.С.;м;Отцы и дети ;Могила сына;проза;1862;роман;нет;нет;Есть небольшое сельское кладбище в одном из отдаленных уголков России;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
62;Кольцов А.В.;м;Не шуми ты, рожь;;поэзия;1834;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
63;Никитин И.С.;м;Вырыта заступом яма глубокая;;поэзия;1860;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
64;Андреев Л.Н.;м;Кусака;;проза;1901;рассказ;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
65;Тургенев И.С.;м;Перепелка;;проза;1882;повесть;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
66;Пушкин А.С.;м;Птичка;;поэзия;1823;стихотворение;да;нет;В чужбине свято наблюдаю / родной обычай старины ;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
67;Горький М.;м;В лесу;Ловля птиц;проза;;рассказ;нет;да;Я пешил заниматься ловлей певчих птиц;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
68;Фофанов К.М.;м;Звезды ясные, звезды прекрасные;;поэзия;1885;стихотворение;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
69;Гоголь Н.В.;м;Тарас Бульба;Украсинская степь;проза;1835;повесть;нет;нет;Степь, чем далее, тем становилась прекраснее;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
70;Пушкин А.С.;м;Цыганы;;поэзия;1825;поэма;да;нет;;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
71;Гоголь Н.В.;м;Страшная месть;Днепр;проза;1831;повесть;нет;нет;Чуден Днепр;Э.П.Беме;Берлин;1918;1;;хрестоматия;;;Беме_1918
