Pseudonym;Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Алданов М.А.;Русская литература;Эмигрантская литература;;;;Ключ;Последние новости;Париж;Газета;№3207;02.01.1930;3;Подвал
Н. К—гъ;Кнорринг Н.Н.;Толстой и охранка;Рецензия на исследование;Меньщиков Л.П.;Русская литература;;Русская литература;2/2 XIXв.;Толстой Л.Н.;Охраны и революция;Последние новости;Париж;Газета;№3207;02.01.1930;3;Чердак
Георгий Адамович;Адамович Г.В.;Молодые поэты;Рецензия на издание;;Русская литература;Эмигрантская литература;;;;Сборник стихотворений Союза молодых поэтов;Последние новости;Париж;Газета;№3214;09.01.1930;2;Подвал
М.С.;;Русская литература в Британской энциклопедии;Рецензия на исследование;Британская энциклопедия;Английская литература;XXв.;Русская литература;;;;Последние новости;Париж;Газета;№3214;09.01.1930;3;Чердак
Р. Словцов;Калишевич Н.В.;В шестидесятые годы;Рецензия на публикацию;Зиф;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Боборыкин П.Д.;П.Д. Боборыкин. За полвека (мои воспоминания);Последние новости;Париж;Газета;№3214;09.01.1930;4;Подвал
Ю. Сазонова;Сазонова Ю.Л.;Анри Жансон;Рецензия на художественную книгу;Жансон А.;Французская литература;XXв.;;;;Ты, которую я так любил;Последние новости;Париж;Газета;№3219;14.01.1930;5;Подвал
Мих. Ос.;Ильин M.A.;«Затуманившийся мир»;Рецензия на художественную книгу;Пильский П.М.;Русская литература;Эмигрантская литература;;;;Затуманившийся мир;Последние новости;Париж;Газета;№3221;16.01.1930;3;Чердак
Мих. Ос.;Ильин M.A.;«Свистопуп»;Рецензия на художественную книгу;Минцлов С.Р.;Русская литература;Эмигрантская литература;;;;Свистопуп;Последние новости;Париж;Газета;№3221;16.01.1930;3;Чердак
Б/а;Б/а;Анатоль Франс и Золя ;Персональная статья;Франс А.;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№3221;16.01.1930;3;Чердак
Б/а;Б/а;Анатоль Франс и Золя ;Персональная статья;Золя Э.;Французская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№3221;16.01.1930;3;Чердак
Р. Словцов;Калишевич Н.В.;Из литературного калейдоскопа;Рецензия на публикацию;Звезда;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Успенский Н.;;Последние новости;Париж;Газета;№3221;16.01.1930;4;Подвал
Р. Словцов;Калишевич Н.В.;Из литературного калейдоскопа;Рецензия на публикацию;Звезда;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Салтыков-Щедрин М.Е.;;Последние новости;Париж;Газета;№3221;16.01.1930;4;Подвал
С.;Калишевич Н.В.;Глеб Успенский и К. Маркс;Персональная статья;Успенский Г.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№3222;17.01.1930;4;Чердак
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Веймарн П.П.;Русская литература;Эмигрантская литература;;;;Большие дороги;Последние новости;Париж;Газета;№3228;23.01.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Ирецкий В.Я.;Русская литература;Эмигрантская литература;;;;Холодный уголь;Последние новости;Париж;Газета;№3228;23.01.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Крымов В.;Русская литература;Эмигрантская литература;;;;Люди в паутине;Последние новости;Париж;Газета;№3228;23.01.1930;3;Подвал
А. Д—ская;Даманская А.;Страсти человеческие;Рецензия на художественную книгу;Гауптман Г.;Немецкая литература;XXв.;;;;Das Buch des Leidenshaft;Последние новости;Париж;Газета;№3228;23.01.1930;3;Чердак
Мих. Ос.;Ильин M.A.;«10 ЛС»;Рецензия на художественную книгу;Эренбург И.;Русская литература;Советская литература;;;;10 ЛС;Последние новости;Париж;Газета;№3228;23.01.1930;3;Чердак
Н. Берберова;Берберова Н.Н.;О Жорже и других;Рецензия на статью;Талин В.П.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№3233;28.01.1930;2;Чердак
Р. Словцов;Калишевич Н.В.;Книги бессмертных сказок;Рецензия на перевод;Академия;Русская литература;Советская литература;;;;Книга тысячи и одной ночи;Последние новости;Париж;Газета;№3233;28.01.1930;4;Подвал
Р. Словцов;Калишевич Н.В.;Книги бессмертных сказок;Рецензия на перевод;Кузмин М.А.;Русская литература;Советская литература;Античная литература;IIв.;Апулей Л.;Золотой осел;Последние новости;Париж;Газета;№3233;28.01.1930;4;Подвал
Р. Словцов;Калишевич Н.В.;Душевная драма Некрасова;Рецензия на публикацию;Академия;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Некрасов Н.А.;Н.А. Некрасов в воспоминаниях современников;Последние новости;Париж;Газета;№3235;30.01.1930;3;Подвал
Мих. Ос.;Ильин M.A.;«В стране свобод»;Рецензия на художественную книгу;Шульгин В.В.;Русская литература;Эмигрантская литература;;;;В стране свобод;Последние новости;Париж;Газета;№3235;30.01.1930;3;Чердак
Георгий Адамович;Адамович Г.В.;Новая книга Андрея Белого;Рецензия на исследование;Белый А.;Русская литература;Советская литература;;;;Ритм как диалектика и “Медный всадник”;Последние новости;Париж;Газета;№3235;30.01.1930;3;Чердак
Р. Словцов;Калишевич Н.В.;«Байрон» Андрэ Моруа;Рецензия на исследование;Моруа А.;Французская литература;XXв.;Английская литература;1/2 XIXв.;Байрон Д.Г.;Byron;Последние новости;Париж;Газета;№3240;04.02.1930;4;Подвал
Мих. Ос.;Ильин M.A.;«Вечер у Клэр»;Рецензия на художественную книгу;Газданов Г.И.;Русская литература;Эмигрантская литература;;;;Вечер у Клэр;Последние новости;Париж;Газета;№3242;06.02.1930;3;Чердак
Н. К—гъ;Кнорринг Н.Н.;Книга о Чехове;Рецензия на исследование;Академия;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Чехов А.П.;Чехов и его среда;Последние новости;Париж;Газета;№3242;06.02.1930;3;Чердак
Георгий Адамович;Адамович Г.В.;«Современные записки», кн. 41-я.;Рецензия на художественную книгу;Шмелев И.С.;Русская литература;Эмигрантская литература;;;;Солдаты;Последние новости;Париж;Газета;№3249;13.02.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки», кн. 41-я.;Рецензия на художественную книгу;Набоков В.В.;Русская литература;Эмигрантская литература;;;;Защита Лужина;Последние новости;Париж;Газета;№3249;13.02.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки», кн. 41-я.;Рецензия на художественную книгу;Оцуп Н.А.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№3249;13.02.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки», кн. 41-я.;Рецензия на художественную книгу;Ладинский А.П.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№3249;13.02.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки», кн. 41-я.;Рецензия на художественную книгу;Кнут Д.;Русская литература;Эмигрантская литература;;;;Стихи;Последние новости;Париж;Газета;№3249;13.02.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки», кн. 41-я.;Рецензия на статью;Альтшуллер И.;Русская литература;Эмигрантская литература;Русская литература;2/2 XIXв.;Чехов А.П.;;Последние новости;Париж;Газета;№3249;13.02.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;«Современные записки», кн. 41-я.;Рецензия на статью;Цетлин М.О.;Русская литература;Эмигрантская литература;Русская литература;2/2 XIXв.;Чехов А.П.;;Последние новости;Париж;Газета;№3249;13.02.1930;3;Подвал
Мих. Цетлин;Цетлин М.О.;Новая книга Саши Черного;Рецензия на художественную книгу;Черный А.;Русская литература;Эмигрантская литература;;;;Чудесное лето;Последние новости;Париж;Газета;№3249;13.02.1930;3;Чердак
М. Бенедиктов;Берхин М.;«Давид Гольдер»;Рецензия на художественную книгу;Немировски И.;Русская литература;Эмигрантская литература;;;;David Golder;Последние новости;Париж;Газета;№3249;13.02.1930;3;Чердак
Георгий Адамович;Адамович Г.В.;«Новые писатели»;Рецензия на художественную книгу;Яновский В.С.;Русская литература;Эмигрантская литература;;;;Колесо;Последние новости;Париж;Газета;№3256;20.02.1930;3;Чердак
Б/а;Б/а;Огюст Доршен;Некролог;Доршен О.;Французская литература;XXв.;;;;;Последние новости;Париж;Газета;№3256;20.02.1930;3;Чердак
Р. Словцов;Калишевич Н.В.;Смерть Байрона;Рецензия на исследование;Моруа А.;Французская литература;XXв.;Английская литература;1/2 XIXв.;Байрон Д.Г.;Byron;Последние новости;Париж;Газета;№3256;20.02.1930;4;Подвал
Мих. Осоргин;Ильин M.A.;О советской литературе;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№3258;22.02.1930;4;Подвал
Ек. Кускова;Кускова Е.Д.;«Детская» литература;Обзорная статья;;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№3263;27.02.1930;2;Подвал
М. Цетлин;Цетлин М.О.;Галина Кузнецова;Рецензия на художественную книгу;Кузнецова Г.Н.;Русская литература;Эмигрантская литература;;;;Утро;Последние новости;Париж;Газета;№3263;27.02.1930;3;Чердак
Як. П.;;Россия в средневековой французской культуре;Рецензия на исследование;Лозинский Г.Л.;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№3263;27.02.1930;3;Чердак
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на перевод;Ламбле А.;Швейцарская литература;XXв.;Французская литература;2/2 XIXв.;Бодлер Ш.;Цветы зла;Последние новости;Париж;Газета;№3263;27.02.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Эрлих В.;Русская литература;Советская литература;;;;Софья Перовская;Последние новости;Париж;Газета;№3263;27.02.1930;3;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Гумилевский Л.;Русская литература;Советская литература;;;;Игра в любовь;Последние новости;Париж;Газета;№3263;27.02.1930;3;Подвал
Р. Словцов;Калишевич Н.В.;Молодой Толстой;Рецензия на публикацию;Островский А.;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Толстой Л.Н.;Молодой Толстой в записях современников;Последние новости;Париж;Газета;№3263;27.02.1930;4;Подвал
К. Парчевский;Парчевский К.К.;Саша Черный;Юбилейная статья;Черный А.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№3270;06.03.1930;3;Подвал
Кн. Сергей Волконский ;Волконский С.;«Нос» Гоголя по-французски;Рецензия на перевод;Лон В., Ставров П.;Французская литература;XXв.;Русская литература;1/2 XIXв.;Гоголь Н.В.;Нос;Последние новости;Париж;Газета;№3270;06.03.1930;3;Чердак
Мих. Ос.;Ильин M.A.;«Суббота и воскресенье»;Рецензия на художественную книгу;Высоцкий А.;Русская литература;Эмигрантская литература;;;;Суббота и воскресенье;Последние новости;Париж;Газета;№3270;06.03.1930;3;Чердак
Ю. Сазонова;Сазонова Ю.Л.;Встреча французских и русских писателей;Обзорная статья;;Общее;Общее;;;;;Последние новости;Париж;Газета;№3275;11.03.1930;5;Подвал
Георгий Адамович;Адамович Г.В.;Литературные заметки;Рецензия на художественную книгу;Мариенгоф А.;Русская литература;Советская литература;;;;Бритый человек;Последние новости;Париж;Газета;№3277;13.03.1930;2;Подвал
А. Черный;Гликберг А.М.;«Памяти твоей»;Рецензия на художественную книгу;Песков Г. (Дейша Е.А.);Русская литература;Эмигрантская литература;;;;Памяти твоей;Последние новости;Париж;Газета;№3277;13.03.1930;3;Чердак
Мих. Осоргин;Ильин M.A.;Книга Чисел;Рецензия на статью;Адамович Г.;Русская литература;Эмигрантская литература;;;;Комментарии;Последние новости;Париж;Газета;№3284;20.03.1930;3;Подвал
Мих. Осоргин;Ильин M.A.;Книга Чисел;Рецензия на публикацию;Антон Крайний (Гиппиус З.Н.);Русская литература;Эмигрантская литература;;;;Литературные размышления;Последние новости;Париж;Газета;№3284;20.03.1930;3;Подвал
Мих. Осоргин;Ильин M.A.;Книга Чисел;Рецензия на художественную книгу;Шаршун С.И.;Русская литература;Эмигрантская литература;;;;Долголиков;Последние новости;Париж;Газета;№3284;20.03.1930;3;Подвал
Мих. Осоргин;Ильин M.A.;Книга Чисел;Рецензия на художественную книгу;Фельзен Ю.;Русская литература;Эмигрантская литература;;;;Неравенство;Последние новости;Париж;Газета;№3284;20.03.1930;3;Подвал
Мих. Осоргин;Ильин M.A.;Книга Чисел;Рецензия на художественную книгу;Горный С.;Русская литература;Эмигрантская литература;;;;Фотографии;Последние новости;Париж;Газета;№3284;20.03.1930;3;Подвал
Мих. Осоргин;Ильин M.A.;Книга Чисел;Рецензия на художественную книгу;Газданов Г.И.;Русская литература;Эмигрантская литература;;;;Водяная тюрьма;Последние новости;Париж;Газета;№3284;20.03.1930;3;Подвал
А. Даманская;Даманская А.;Путь богов;Рецензия на художественную книгу;Келлерман Б.;Немецкая литература;XXв.;;;;Der Wegder Gôtter;Последние новости;Париж;Газета;№3284;20.03.1930;3;Чердак
Н. К—гъ;Кнорринг Н.Н.;«Краткосрочники»;Рецензия на художественную книгу;Куклин Г.;Русская литература;Советская литература;;;;Краткосрочники;Последние новости;Париж;Газета;№3284;20.03.1930;3;Чердак
Б/а;Б/а;Из записных книжек А. Блока;Рецензия на публикацию;Звезда;Русская литература;Советская литература;Русская литература;Начало XXв.;Блок А.А.;;Последние новости;Париж;Газета;№3284;20.03.1930;3;Чердак
Б/а;Б/а;О Викторе Гюго;Рецензия на статью;Ла Круа;Французская литература;XXв.;Французская литература;1/2 XIXв.;Гюго В.;;Последние новости;Париж;Газета;№3284;20.03.1930;3;Чердак
Р. Словцов;Калишевич Н.В.;Достоевский заграницей;Рецензия на публикацию;Госиздат;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Достоевский Ф.М.;;Последние новости;Париж;Газета;№3289;25.03.1930;4;Подвал
Арсений Мерич;Даманская А.;Маг;Рецензия на художественную книгу;Бруно Ф.;Немецкая литература;XXв.;;;;Der Magier;Последние новости;Париж;Газета;№3291;27.03.1930;3;Чердак
