Author;Article;Kind;Person;Country_of_author;Period_of_author;Сountry_of_person;Period_of_person;Extra_persons;Text;Name;City;Type;Issue;Year;Pages;Peculiarity;Theme;ID
Словцов Р.;Подлинные записки А.О.Смирновой;Рецензия на публикацию;Публикатор;Русская литература;Советская литература;Русская литература;1/2 XIXв.;Смирнова А.О.;Записки;Последние новости;Париж;Газета;№3940;05.01.1932;2;Подвал;;
Георгий Адамович;Грусть;Рецензия на художественную книгу;Зайцев Б.К.;Русская литература;Эмигрантская литература;;;;Жизнь Тургенева;Последние новости;Париж;Газета;№3942;07.01.1932;3;Подвал;;
Словцов Р.;Миллион терзаний;Персональная статья;Гончаров И.А.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№3942;07.01.1932;5;Подвал;;
Словцов Р.;Лев Толстой и кн. С.С.Урусов;Персональная статья;Толстой Л.Н.;Русская литература;2/2 XIXв.;;;;Война и мир;Последние новости;Париж;Газета;№3947;12.01.1932;4;Подвал;;
Георгий Адамович;Мысли и сомнения;Обзорная статья;;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№3949;14.01.1932;2;Подвал;Литература эмиграции;
Лозинский Г.;Меримэ и русская литература;Персональная статья;Мериме П.;Французская литература;2/2 XIXв.;Русская литература;Общее;;Письма к Тургеневу;Последние новости;Париж;Газета;№3949;14.01.1932;3;Чердак;;
Вейдле В.;Книги о Гете;Персональная статья;Гете И.;Немецкая литература;1/2 XIXв.;;;;;Последние новости;Париж;Газета;№3949;14.01.1932;3;Чердак;;
Ю.Р.;Эмиль Людвиг—драматург;Рецензия на художественную книгу;Людвиг Э.;Немецкая литература;XXв.;;;;Портрет;Последние новости;Париж;Газета;№3956;21.01.1932;3;Чердак;;
Н. К—гъ;Повесть о неудавшемся романе;Рецензия на художественную книгу;Пришвин М.М.;Русская литература;Советская литература;;;;Журавлиная родина;Последние новости;Париж;Газета;№3956;21.01.1932;3;Чердак;;
Георгий Адамович;Стихи В. Смоленского;Рецензия на художественную книгу;Смоленский В.А.;Русская литература;Эмигрантская литература;;;;;Последние новости;Париж;Газета;№3956;21.01.1932;3;Чердак;;
Словцов Р.;Новое о Толстом;Рецензия на публикацию;Публикатор;Русская литература;Советская литература;Русская литература;2/2 XIXв.;Толстой Л.Н.;Полное собрание сочинений;Последние новости;Париж;Газета;№3956;21.01.1932;3;Подвал;;
Бенедиктов М.;Шлиман;Рецензия на исследование;Людвиг Э.;Немецкая литература;XXв.;;;;Шлиман;Последние новости;Париж;Газета;№3963;28.01.1932;2;Подвал;;
Вейдле В.;Алиса в стране чудес;Рецензия на художественную книгу;Кэролл Л.;Английская литература;2/2 XIXв.;;;;Алиса в стране чудес;Последние новости;Париж;Газета;№3963;28.01.1932;3;Чердак;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Иванов Вс.Н.;Русская литература;Эмигрантская литература;;;;Огни в тумане;Последние новости;Париж;Газета;№3963;28.01.1932;3;Чердак;;
Бенедиктов М.;Шлиман;Рецензия на исследование;Людвиг Э.;Немецкая литература;XXв.;;;;Шлиман;Последние новости;Париж;Газета;№3965;30.01.1932;4;Подвал;;
Георгий Адамович;Литературные заметки;Рецензия на художественную книгу;Каверин В.А.;Русская литература;Советская литература;;;;Художник неизвестен;Последние новости;Париж;Газета;№3970;04.02.1932;2;Подвал;;
Н. К—гъ;А.П. Чапыгин;Персональная статья;Чапыгин А.П.;Русская литература;Советская литература;;;;;Последние новости;Париж;Газета;№3970;04.02.1932;3;Чердак;;
Словцов Р.;Расцвет Чехова;Персональная статья;Чехов А.П.;Русская литература;2/2 XIXв.;;;;;Последние новости;Париж;Газета;№3970;04.02.1932;3;Подвал;;
Вейдле В.;Литтон Стрэчи;Персональная статья;Стрэчи Л.;Английская литература;XXв.;;;;;Последние новости;Париж;Газета;№3972;06.02.1932;2;Подвал;;
Георгий Адамович;«Современные записки», кн. 48-я;Рецензия на художественную книгу;Песков Г. (Дейша Е.А.);Русская литература;Эмигрантская литература;;;;Злая вечность;Последние новости;Париж;Газета;№3977;11.02.1932;2;Подвал;;
