number ;author_in_publication;author_real_name ;text;name;city;type;political_orientation;issue ;year_publ_in_emigration;date_publ_in_emigration;taken_from;description ;peculiarity;name_part;pages;year_first_in_russia;date_publ_in_russia;name_in_russia;issue_russia;source 
;Бабель И.Э.;;История моей голубятни;Версты;Париж;журнал;;№1;1926;;"Изд. Земля и Фабрика. Москва — Ленинград. 
";проза ;;;58—67;;;;;
;Белый А.;;Москва под ударом;Версты;Париж;журнал;;№2;1927;;;проза ;отрывок;Москва под ударом;104—114;;;;;
;Веселый А.;;Вольница;Версты;Париж;журнал;;№1;1926;;«Леф» No 1 (5) ;проза ;;;68—81;1925;;;;
;Веселый А.;;Страна Родная;Версты;Париж;журнал;;№2;1927;;;проза ;отрывок (глава);Восстание;84—92;;;;;
;Есенин С.А. ;;Какая ночь! Я не могу;Версты;Париж;журнал;;№1;1926;;«Новый мир»  №2, Москва;стихи;полный текст;;7—8;1926;;;;
;Есенин С.А. ;;Не гляди на меня с упреком;Версты;Париж;журнал;;№1;1926;;«Новый мир»  №2, Москва;стихи;полный текст;;8—9;1926;;;;
;Есенин С.А. ;;Ты меня не любишь, не жалеешь;Версты;Париж;журнал;;№1;1926;;«Новый мир»  №2, Москва;стихи;полный текст;;9—10;1926;;;;
;Есенин С.А. ;;Может поздно, может слишком рано ;Версты;Париж;журнал;;№1;1926;;«Новый мир»  №2, Москва;стихи;полный текст;;10—11;1926;;;;
;Пастернак Б.Л.;;1905 год ;Версты;Париж;журнал;;№1;1926;;«Новый мир»  №2, Москва;стихи;отрывок;Потемкин ;20—22;1926;;;;
;Сельвинский И.Л.;;Казнь стецюры;Версты;Париж;журнал;;№1;1926;;Сборник литературного центра конструктивистов, Москва-Ленинград;стихи (новелла);;;23—26;;;;;
;Сельвинский И.Л.;;Казачья походная;Версты;Париж;журнал;;№1;1926;;"Лит. Центр. Констр. Госплан Литературы 
Москва, изд-во «Кругъ» 
";стихи;;;27;;;;;
;Сельвинский И.Л.;;Цыганская ;Версты;Париж;журнал;;№1;1926;;"Мена всех Поэты конструктивисты 
Москва 
";стихи;;;28;1924;;;;
;Сельвинский И.Л.;;Цыганский вальс на гитаре ;Версты;Париж;журнал;;№1;1926;;"Мена всех Поэты конструктивисты 
Москва ";стихи;;;29;1924;;;;
;Тынянов Ю. ;;Кюхля;Версты;Париж;журнал;; №2;1927;;;проза ;отрывок;Конец;92—104;;;;;
;Ахматова Анна;;Земной отрадой сердца не томи;Накануне ;Берлин;Литературное приложение ;;№29(№1);1922;30.04.;;стихи;;;1;;;;;
;Ахматова Анна;;Как мог ты, сильный и свободный;Накануне ;Берлин;Литературное приложение ;;№29(№1);1922;30.04.;;стихи;;;1;;;;;
;Серго Кезели;;Я знаю;Накануне;Берлин;Литературное приложение ;;№29(№1);1922;30.04.;;стихи;;;1;;;;;
;Мариенгоф Анатоль;;Без шляпы;Накануне;Берлин;Литературное приложение ;;№34(№2);1922;07.05.;;стихи;отрывок;;1;;;;;
;Короленко В.Г.;;Письма В. Г.  Короленко — М. Горькому;Накануне;Берлин;Литературное приложение ;;№34(№2);1922;07.05.;;проза ;;;4;Время написания—27 июля 1921;;;;
;Есенин Сергей;;Все живое особой метой;Накануне;Берлин;Литературное приложение ;;№40 (№3);1922;14.05.;;стихи;;;1;;;;;«переданы сегодня 11-го мая, в 1 ч.дня автором вылетевшим вчера в 9 час утра из Москва на аэроплане»
;Есенин Сергей;;;Накануне;Берлин;Литературное приложение ;;№40 (№3);1922;14.05.;;стихи;;;1;;;;;«переданы сегодня 11-го мая, в 1 ч.дня автором вылетевшим вчера в 9 час утра из Москва на аэроплане»
;Розанов В.В. ;;Из писем В. В. Розанова;Накануне;Берлин;Литературное приложение ;;№40 (№3);1922;14.05.;;эго-документ;;;1—4;;;;;
;Пильняк Борис;;Отрывок без названия;Накануне;Берлин;Литературное приложение ;;№40 (№3);1922;14.05.;;проза ;;;7;;;;;Москва, апрель 1922
;Есенин Сергей;;Сторона ты моя, сторона;Накануне;Берлин;Литературное приложение ;;№46 (№4);1922;21.05.;;стихи;;;1;;;;;
;Короленко В.Г.;;Письма В. Г.  Короленко — М. Горькому;Накануне;Берлин;Литературное приложение ;;№46 (№4);1922;21.05.;;стихи;;;3—4;;;;;
;Мандельштам О.;;Люблю под сводами седыя тишины;Накануне;Берлин;Литературное приложение ;;№51(№5);1922;28.05.;;стихи;;;;;;;;
;Пильняк Борис;;В охотничьем избе;Накануне;Берлин;Литературное приложение ;;№51(№5);1922;28.05.;;проза;;;1—3;;;;;
;Орешин Петр;;Голод;Накануне;Берлин;Литературное приложение ;;№57(№6);1922;04.06.;;стихи;;;1—2;;;;;Москва, 23.1.22
;Чуковский К. И.;;Письмо К. И. Чуковского А. Н. Толстому;Накануне;Берлин;Литературное приложение ;;№57(№6);1922;04.06.;;эго-документ;;;2—3;;;;;
;Чуковский Николай;;Птенцов щеглах в крыльях прячет;Накануне;Берлин;Литературное приложение ;;№57(№6);1922;04.06.;;стихи;;;3;;;;;
Посмотреть ОТТо…;Чуковский Николай;;Засыпает сторож в будке;Накануне;Берлин;Литературное приложение ;;№57(№6);1922;04.06.;;стихи;;;3;;;;;
;Мариенгоф А.;;Другу на прощанье;Накануне;Берлин;Литературное приложение ;;№62(№7);1922;11.06.;;стихи;;;1;;;;;
;Кусиков Александр;;Глаза слепые;Накануне;Берлин;Литературное приложение ;;№62(№7);1922;11.06.;;стихи;;;1;;;;;Москва 1920
