;author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
1;Бабель И.Э.;История моей голубятни;Версты;Париж;журнал;№1;1926;проза;полный текст;;58—67;Изд. Земля и Фабрика;1926
2;Белый А.;Москва под ударом;Версты;Париж;журнал;№2;1927;проза;отрывок;Москва под ударом;104—114;;
3;Веселый А.;Вольница;Версты;Париж;журнал;№1;1926;проза;полный текст;;68—81;Леф;1925
4;Веселый А.;Страна Родная;Версты;Париж;журнал;№2;1927;проза;отрывок;Восстание;84—92;;
5;Есенин С.А.;Какая ночь! Я не могу;Версты;Париж;журнал;№1;1926;стихи;полный текст;;7—8;Новый мир;1926
6;Есенин С.А.;Не гляди на меня с упреком;Версты;Париж;журнал;№1;1926;стихи;полный текст;;8—9;Новый мир;1926
7;Есенин С.А.;Ты меня не любишь, не жалеешь;Версты;Париж;журнал;№1;1926;стихи;полный текст;;9—10;Новый мир;1926
8;Есенин С.А.;Может поздно, может слишком рано ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;10—11;Новый мир;1926
9;Пастернак Б.Л.;1905 год;Версты;Париж;журнал;№1;1926;стихи;отрывок;Потемкин ;20—22;Новый мир;1926
10;Сельвинский И.Л.;Казнь стецюры;Версты;Париж;журнал;№1;1926;стихи;полный текст;;23—26;Сборник литературного центра конструктивистов;
11;Сельвинский И.Л.;Казачья походная;Версты;Париж;журнал;№1;1926;стихи;полный текст;;27;"Круг 
";
12;Сельвинский И.Л.;Цыганская ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;28;"Мена всех Поэты конструктивисты 
";1924
13;Сельвинский И.Л.;Цыганский вальс на гитаре ;Версты;Париж;журнал;№1;1926;стихи;полный текст;;29;"Мена всех Поэты конструктивисты 
";1924
14;Тынянов Ю.;Кюхля;Версты;Париж;журнал;№2;1927;проза;отрывок;Конец;92—104;;
15;Ахматова А.А.;Земной отрадой сердца не томи;Накануне ;Берлин;журнал;№29(№1);30.04.1922;стихи;полный текст;;1;;
16;Ахматова А.А.;Как мог ты, сильный и свободный;Накануне ;Берлин;журнал;№29(№1);30.04.1922;стихи;полный текст;;1;;
17;Мариенгоф А.;Без шляпы;Накануне ;Берлин;журнал;№34(№2);07.05.1922;стихи;отрывок;;1;;
18;Есенин С.А.;Все живое особой метой;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;стихи;полный текст;;1;;
19;Есенин С.А.;;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;стихи;полный текст;;1;;
20;"Пильняк Б.А.
";Отрывок без названия;Накануне ;Берлин;журнал;№40 (№3);14.05.1922;проза;полный текст;;7;;
21;Есенин С.А.;Сторона ты моя, сторона;Накануне ;Берлин;журнал;№46 (№4);21.05.1922;стихи;полный текст;;1;;
22;Мандельштам О.;Люблю под сводами седыя тишины;Накануне ;Берлин;журнал;№51(№5);28.05.1922;стихи;полный текст;;;;
23;Пильняк Б.А.;В охотничьем избе;Накануне ;Берлин;журнал;№51(№5);28.05.1922;проза;полный текст;;1—3;;
24;Орешин П.;Голод;Накануне ;Берлин;журнал;№57(№6);04.06.1922;стихи;полный текст;;1—2;;
25;Чуковский Н.;Птенцов щеглах в крыльях прячет;Накануне ;Берлин;журнал;№57(№6);04.06.1922;стихи;полный текст;;3;;
26;Чуковский Н.;Засыпает сторож в будке;Накануне ;Берлин;журнал;№57(№6);04.06.1922;стихи;полный текст;;3;;
27;Мариенгоф А.;Другу на прощанье;Накануне ;Берлин;журнал;№62(№7);11.06.1922;стихи;полный текст;;1;;
28;Иванов Вс.;Дитё;Накануне ;Берлин;журнал;№62(№7);11.06.1922;проза;полный текст;;2—4;;
29;Орешин П.;Золотой чернозем;Накануне ;Берлин;журнал;№69(№8);18.06.1922;стихи;полный текст;;;;
30;Мандельштам О.;Умывался ночью на дворе;Накануне ;Берлин;журнал;№69(№8);18.06.1922;стихи;полный текст;;;;
31;Федин К.А.;Сад;Накануне ;Берлин;журнал;№69(№8);18.06.1922;проза;полный текст;;2—4;;
32;Булгаков М.А.;Записки на манжетах;Накануне ;Берлин;журнал;№69(№8);18.06.1922;проза;полный текст;;5—7;;
33;Мандельштам О.;Я в хоровод теней, топтавших нежный луг;Накануне ;Берлин;журнал;№74(№9);25.06.1922;стихи;полный текст;;1;;
34;Катаев В.;Самогон;Накануне ;Берлин;журнал;№74(№9);25.06.1922;стихи;полный текст;;1;;
35;Неверов А.;Страшные вести;Накануне ;Берлин;журнал;№74(№9);25.06.1922;проза;полный текст;;2—3;;
36;Никитин Н.;О кобыльем яйце и коте-агенте;Накануне ;Берлин;журнал;№82(№9);16.07.1922;проза;полный текст;;1;;
37;Катаев В.;В осажденном городе;Накануне ;Берлин;журнал;№82(№9);16.07.1922;проза;полный текст;;2;;
38;Мандельштам О.;С розовой пеной усталость у мягких губ;Накануне ;Берлин;журнал;№94(№11);30.07.1922;стихи;полный текст;;1;;
39;Зенкевич М.;Черношоколадные пашни;Накануне ;Берлин;журнал;№94(№11);30.07.1922;стихи;полный текст;;1;;
40;Лидин В.;Ковчег;Накануне ;Берлин;журнал;№94(№11);30.07.1922;проза;полный текст;;1—;;
41;Слезкин Ю.;Столовая Гора;Накануне ;Берлин;журнал;№100(№12);06.08.1922;проза;отрывок;О Лизочке и еще кой о чем;1—2;;
42;Семенов С.;Sterbstadt;Накануне ;Берлин;журнал;№100(№12);06.08.1922;проза;отрывок;;2—3;;
43;Блок А.А.;Возмездие;Накануне ;Берлин;журнал;№106(№13);13.08.1922;стихи;отрывок;;1;;
44;Волошин М.;Памяти Александра Блока;Накануне ;Берлин;журнал;№106(№13);13.08.1922;стихи;полный текст;;1;;
45;Чачиков А. ;Грядущее;Накануне ;Берлин;журнал;№112(№14);20.08.1922;стихи;полный текст;;1;;
46;Слонимский М.;Чертово колесо;Накануне ;Берлин;журнал;№112(№14);20.08.1922;проза;полный текст;;1—4;;
47;Приходченко Е.;Гудела степь и ветры пахли медом;Накануне ;Берлин;журнал;№112(№14);20.08.1922;стихи;полный текст;;1;;
48;Катаев В.;Рыжие крестики ;Накануне ;Берлин;журнал;№112(№14);20.08.1922;проза;полный текст;;4;;
49;Иванов Вс.;Рассказ о себе;Накануне ;Берлин;журнал;№118(№15);27.08.1922;проза;полный текст;;1—2;;
50;Слезкин Ю.;Томительная ночи повесть;Накануне ;Берлин;журнал;№118(№15);27.08.1922;проза;полный текст;;3—4;;
51;Ивнев Р.;Россия;Накануне ;Берлин;журнал;№124(№16);03.09.1922;стихи;полный текст;;1;;
52;Крайский А.;Я или ты?;Накануне ;Берлин;журнал;№124(№16);03.09.1922;стихи;полный текст;;1—2;;
53;Неверов А.;Колька;Накануне ;Берлин;журнал;№124(№16);03.09.1922;проза;полный текст;;2—5;;
54;Козырев М.;Пекате;Накануне ;Берлин;журнал;№124(№16);03.09.1922;проза;полный текст;;5—8;;
55;Галати Е.;Как мудрый отравитель, время ;Накануне ;Берлин;журнал;№130(№17);10.09.1922;стихи;полный текст;;1;;
56;Галати Е.;Фильмела;Накануне ;Берлин;журнал;№130(№17);10.09.1922;стихи;полный текст;;1;;
57;Оленин А.;Поэма встречи;Накануне ;Берлин;журнал;№136(№18);17.09.1922;стихи;отрывок;;1;;
58;Слезкин Ю.;Житие;Накануне ;Берлин;журнал;№136(№18);17.09.1922;проза;полный текст;;1—5;;
59;Катаев В.;Иринка;Накануне ;Берлин;журнал;№142(№19);24.09.1922;проза;полный текст;;1—2;;
60;Булгаков М.А.;Похождения Чичикова;Накануне ;Берлин;журнал;№142(№19);24.09.1922;проза;полный текст;;2—6;;
61;Никулин Л.;Путешествие в Афганистан;Накануне ;Берлин;журнал;№154(№21);08.10.1922;стихи;отрывок;Герат;1;;
62;Никитин Н.;Пелла;Накануне ;Берлин;журнал;№154(№21);08.10.1922;стихи;полный текст;;1;;
63;Ромашев Б.;Я живу в том доме;Накануне ;Берлин;журнал;№160(№22);15.10.1922;стихи;полный текст;;1;;
64;Приходченко Е.;Затея;Накануне ;Берлин;журнал;№160(№22);15.10.1922;стихи;полный текст;;1;;
65;Горбов Д.;По облакам;Накануне ;Берлин;журнал;№160(№22);15.10.1922;стихи;полный текст;;1;;
66;Булгаков М.А.;Красная корона;Накануне ;Берлин;журнал;№166(№23);22.10.1922;проза;полный текст;;2—5;;
67;Слезкин Ю.;Столовая Гора;Накануне ;Берлин;журнал;№178(№25);05.11.1922;проза;отрывок;Разрешается хождение;2—5;;
68;Федин К.А.;Анна Тимофеевна;Накануне ;Берлин;журнал;№190(№27);19.11.1922;проза;отрывок;Чудо;2—3;;
69;Миндалин Э.М.;Литературная Москва;Накануне ;Берлин;журнал;№195(№28);26.11.1922;проза;полный текст;;2;;
70;Грин А.С.;Тифозный пунктир;Накануне ;Берлин;журнал;№201(№29);03.12.1922;проза;полный текст;;1—3;;
71;Михайлов П.;Сучки и задоринки;Накануне ;Берлин;журнал;№207(№30);10.12.1922;проза;полный текст;;4;;
72;Булгаков М.А.;Алый мах;Накануне ;Берлин;журнал;№207(№30);10.12.1922;проза;отрывок;В ночь на 3-е число;1—2;;
73;Соколовский А.;Среди чужих;Накануне ;Берлин;журнал;№213(№31);17.12.1922;проза;полный текст;;1—2;;
74;Кузмин М.;Брызни дождем веселым;Накануне ;Берлин;журнал;№235(№35);14.01.1923;стихи;полный текст;;1;;
75;Катаев В.;Три бездельника;Накануне ;Берлин;журнал;№235(№35);14.01.1923;проза;отрывок;Женитьба Эдуарда;2—5;;
76;Кузмин М.;На площадке пляшут дети;Накануне ;Берлин;журнал;№235(№35);14.01.1923;стихи;полный текст;;1;;
77;Кузмин М.;Родина Вергилия;Накануне ;Берлин;журнал;№235(№35);14.01.1923;стихи;полный текст;;2;;
78;Волошин М.;На вокзале ;Накануне ;Берлин;журнал;№240(№36);20.01.1923;стихи;полный текст;;1;;
79;Мандельштам О.;Гуманизм и современность ;Накануне ;Берлин;журнал;№240(№36);20.01.1923;проза;полный текст;;6;;
80;Волошин М.;Пустыня;Накануне ;Берлин;журнал;№240(№36);20.01.1923;стихи;полный текст;;2;;
81;Волошин М.;Посев ;Накануне ;Берлин;журнал;№240(№36);20.01.1923;стихи;полный текст;;2;;
82;Шенгели Г.;Броненосец;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;1;;
83;Волошин М.;Карадэг;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;2;;
84;Волошин М.;Ветер с неба хлопья облак вытер;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;2;;
85;Волошин М.;Снова облака тяжелые свитки;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;2;;
86;Волошин М.;Опять бреду я босоногий;Накануне ;Берлин;журнал;№246(№37);27.01.1923;стихи;полный текст;;2;;
87;Слезкин Ю.;Столовая Гора;Накануне ;Берлин;журнал;№246(№37);27.01.1923;проза;отрывок;Песня Гейлюна;3—4;;
88;Никулин Л.;1918;Накануне ;Берлин;журнал;№252(№38);04.02.1923;проза;отрывок;;1—3;;
