number;author;gender;text;title_of_textbook;kind_of_literature;year;genre;whole;retelling;start_of_textbook;compiler;place_of_edition;year_of_edition;level_of_education;kind_of_book;part_of_edition;notes;biblio_id
1;фольклор;undefined;За рекою, за быстрою;Песни бытовы;поэзия;фольклор;песня;нет;нет;За рекою за быстрою;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
2;фольклор;undefined;Егорий ты наш храбрый;undefined;поэзия;фольклор;песня;нет;нет;Егорий ты наш храбрый;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
3;фольклор;undefined;Ах, кабы на цветы;undefined;поэзия;фольклор;песня;нет;нет;Ах, кабы на цветы да не морозы;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
4;фольклор;undefined;Уж как пал туман на сине море;undefined;поэзия;фольклор;песня;да;нет;Уж как пал туман на сине море;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
5;фольклор;undefined;Светел месяц, родимый батюшка;undefined;поэзия;фольклор;песня;нет;нет;Светел месяц родимый батюшка;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
6;фольклор;undefined;Не шуми, мати, зеленая дубровушка;бытовые песни;поэзия;фольклор;песня;да;нет;Не шуми, мати, зеленая дубравушка;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
7;фольклор;undefined;Солнце, Мороз и Ветер;undefined;поэзия;фольклор;сказка;нет;да;Идет мужичок по дороге;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
8;фольклор;undefined;Морозко;undefined;поэзия;фольклор;сказка;да;нет;У матери была падчерица да родная дочка;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
9;фольклор;undefined;Нужда;undefined;поэзия;фольклор;сказка;да;да;Жили-были два брата;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
10;фольклор;undefined;Лиса и волк;undefined;поэзия;фольклор;сказка;да;да;Жили-были дед да баба;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
11;фольклор;undefined;Былина о Святогоре;undefined;поэзия;дрл;былина;нет;да;Снарядился Святогор во чисто поле гуляти;В.Д.Осмоловский;Рига;1921;undefined;учебник;I;undefined;Осмоловский.Ч.1_1921
